ID,Valor,Data,Categoria
1,2500.00,10/11/2024,SALARIO
2,500.00,15/11/2024,ALIMENTACAO
3,3200.00,01/12/2024,SALARIO
4,1200.00,05/12/2024,ALIMENTACAO
5,2500.00,20/12/2024,VALE_ALIMENTACAO
6,1000.00,25/12/2024,ALIMENTACAO
7,5500.00,10/01/2025,SALARIO
8,750.00,15/01/2025,TRANSPORTE
9,3000.00,28/01/2025,DECIMO_TERCEIRO
10,850.00,01/02/2025,ALIMENTACAO
11,2600.00,15/02/2025,COMISSAO
12,400.00,18/02/2025,ROUPAS_CALCADOS
13,1500.00,01/03/2025,SALARIO
14,600.00,10/03/2025,ENERGIA
15,2200.00,01/04/2025,APOSENTADORIA
16,300.00,15/04/2025,INTERNET_TELEFONE
17,4500.00,01/05/2025,SALARIO
18,550.00,05/05/2025,MORADIA
19,300.00,01/06/2025,VALE_TRANSPORTE
20,900.00,10/06/2025,SAUDE
21,1800.00,15/06/2025,SALARIO
22,200.00,20/06/2025,AGUA
23,1500.00,01/07/2025,INVESTIMENTOS
24,250.00,10/07/2025,LAZER
25,3700.00,01/08/2025,SALARIO
26,800.00,05/08/2025,ALIMENTACAO
27,2800.00,01/09/2025,FERIAS
28,1300.00,10/09/2025,SAUDE
29,2500.00,01/10/2025,SALARIO
30,900.00,15/10/2025,EDUCACAO
31,300.00,01/11/2025,ROUPAS_CALCADOS
32,2100.00,10/11/2025,TRANSPORTE
33,2300.00,01/12/2025,SALARIO
34,700.00,05/12/2025,SAUDE
35,1900.00,01/01/2026,SALARIO
36,400.00,15/01/2026,ALIMENTACAO
37,2600.00,01/02/2026,VALE_ALIMENTACAO
38,700.00,05/02/2026,INTERNET_TELEFONE
39,1500.00,01/03/2026,ALIMENTACAO
40,850.00,10/03/2026,SAUDE
41,4000.00,01/04/2026,SALARIO
42,1000.00,10/04/2026,ALIMENTACAO
43,3500.00,01/05/2026,SALARIO
44,600.00,15/05/2026,MORADIA
45,2200.00,01/06/2026,APOSENTADORIA
46,300.00,10/06/2026,INTERNET_TELEFONE
47,4500.00,01/07/2026,SALARIO
48,550.00,15/07/2026,ALIMENTACAO
49,500.00,01/08/2026,ENERGIA
50,1200.00,15/08/2026,SAUDE
51,2700.00,01/09/2026,SALARIO
52,100.00,10/09/2026,TRANSPORTE
53,3800.00,01/10/2026,SALARIO
54,150.00,15/10/2026,ALIMENTACAO
55,3500.00,01/11/2026,VALE_ALIMENTACAO
56,700.00,10/11/2026,SAUDE
57,2300.00,01/12/2026,SALARIO
58,800.00,15/12/2026,ALIMENTACAO
59,2100.00,01/01/2027,SALARIO
60,900.00,10/01/2027,ENERGIA
61,2800.00,01/02/2027,SAUDE
62,3200.00,15/02/2027,SALARIO
63,400.00,01/03/2027,ALIMENTACAO
64,5500.00,10/03/2027,SAUDE
65,2500.00,01/04/2027,COMISSAO
66,500.00,10/04/2027,ALIMENTACAO
67,6000.00,01/05/2027,SALARIO
68,800.00,10/05/2027,ALIMENTACAO
69,1500.00,01/06/2027,VALE_ALIMENTACAO
70,750.00,10/06/2027,TRANSPORTE
71,2000.00,01/07/2027,SALARIO
72,1100.00,10/07/2027,SAUDE
73,3000.00,01/08/2027,SALARIO
74,500.00,10/08/2027,ALIMENTACAO
75,4000.00,01/09/2027,VALE_ALIMENTACAO
76,1000.00,10/09/2027,ROPA_CALCADOS
77,2500.00,01/10/2027,SALARIO
78,500.00,10/10/2027,ALIMENTACAO
79,3500.00,01/11/2027,VALE_ALIMENTACAO
80,1000.00,10/11/2027,COMISSAO
81,2500.00,01/12/2027,SAUDE
82,1500.00,10/12/2027,SALARIO
83,3200.00,01/01/2028,ALIMENTACAO
84,2000.00,10/01/2028,ALIMENTACAO
85,500.00,01/02/2028,TRANSPORTE
86,4500.00,10/02/2028,SALARIO
87,300.00,01/03/2028,EDUCACAO
88,1000.00,10/03/2028,SAUDE
89,1500.00,01/04/2028,SALARIO
90,2500.00,10/04/2028,ALIMENTACAO
91,5500.00,01/05/2028,SAUDE
92,1200.00,10/05/2028,TRANSPORTE
93,2100.00,01/06/2028,ALIMENTACAO
94,500.00,10/06/2028,ROPA_CALCADOS
95,6500.00,01/07/2028,SALARIO
96,1500.00,10/07/2028,ALIMENTACAO
97,2400.00,01/08/2028,COMISSAO
98,5500.00,10/08/2028,SAUDE
99,3000.00,01/09/2028,VALE_ALIMENTACAO
100,2000.00,10/09/2028,SAUDE
